@relation german_credit

@attribute checking_status {<0,0<=X<200,>=200,'no checking'}
@attribute duration numeric
@attribute credit_history {'no credits/all paid','all paid','existing paid','delayed previously','critical/other existing credit'}
@attribute credit_amount numeric
@attribute savings_status {<100,100<=X<500,500<=X<1000,>=1000,'no known savings'}
@attribute age numeric
@attribute foreign_worker {yes,no}
@attribute class {good,bad}

@data
'no checking',36,'existing paid',10974,<100,26,yes,bad
<0,12,'existing paid',1893,<100,29,yes,good
<0,24,'critical/other existing credit',1231,>=1000,57,yes,good
>=200,30,'critical/other existing credit',3656,'no known savings',49,yes,good
0<=X<200,9,'critical/other existing credit',1154,<100,37,yes,good
<0,28,'existing paid',4006,<100,45,yes,bad
0<=X<200,24,'existing paid',3069,100<=X<500,30,yes,good
'no checking',6,'critical/other existing credit',1740,<100,30,yes,good
0<=X<200,21,'delayed previously',2353,<100,47,yes,good
'no checking',15,'existing paid',3556,'no known savings',29,yes,good
'no checking',24,'existing paid',2397,500<=X<1000,35,yes,bad
0<=X<200,6,'existing paid',454,<100,22,yes,good
0<=X<200,30,'existing paid',1715,'no known savings',26,yes,good
0<=X<200,27,'critical/other existing credit',2520,500<=X<1000,23,yes,bad
'no checking',15,'existing paid',3568,<100,54,yes,good
'no checking',42,'existing paid',7166,'no known savings',29,yes,good
<0,11,'critical/other existing credit',3939,<100,40,yes,good
0<=X<200,15,'existing paid',1514,100<=X<500,22,yes,good
'no checking',24,'existing paid',7393,<100,43,yes,good
<0,24,'all paid',1193,<100,29,yes,bad
<0,60,'existing paid',7297,<100,36,yes,bad
'no checking',30,'critical/other existing credit',2831,<100,33,yes,good
>=200,24,'existing paid',1258,500<=X<1000,57,yes,good
0<=X<200,6,'existing paid',753,<100,64,yes,good
0<=X<200,18,'delayed previously',2427,'no known savings',42,yes,good
'no checking',24,'delayed previously',2538,<100,47,yes,bad
0<=X<200,15,'all paid',1264,100<=X<500,25,yes,bad
0<=X<200,30,'critical/other existing credit',8386,<100,49,yes,bad
'no checking',48,'existing paid',4844,<100,33,yes,bad
>=200,21,'existing paid',2923,100<=X<500,28,yes,good
<0,36,'existing paid',8229,<100,26,yes,bad
'no checking',24,'critical/other existing credit',2028,<100,30,yes,good
<0,15,'critical/other existing credit',1433,<100,25,yes,good
>=200,42,'no credits/all paid',6289,<100,33,yes,good
'no checking',13,'existing paid',1409,100<=X<500,64,yes,good
<0,24,'existing paid',6579,<100,29,yes,good
0<=X<200,24,'critical/other existing credit',1743,<100,48,yes,good
'no checking',12,'critical/other existing credit',3565,'no known savings',37,yes,good
'no checking',15,'all paid',1569,100<=X<500,34,yes,good
<0,18,'existing paid',1936,'no known savings',23,yes,good
<0,36,'existing paid',3959,<100,30,yes,good
'no checking',12,'existing paid',2390,'no known savings',50,yes,good
'no checking',12,'existing paid',1736,<100,31,yes,good
<0,30,'existing paid',3857,<100,40,yes,good
'no checking',12,'existing paid',804,<100,38,yes,good
<0,45,'existing paid',1845,<100,23,yes,bad
0<=X<200,45,'critical/other existing credit',4576,100<=X<500,27,yes,good
